price,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,zipcode,living_measure15,lot_measure15,furnished,have_basement,Is_renovated,Age_of_house,SN_region,EW_region
808100,4,3.25,3020,13457,1.0,0,0,5,9,3020,98133,2120,7553,1,0,0,58,EN,EW
277500,4,2.5,2550,7500,1.0,0,0,3,8,1750,98023,2260,8800,0,1,0,38,MS,EW
404000,3,2.5,2370,4324,2.0,0,0,3,8,2370,98038,2370,4348,0,0,0,9,MS,EE
300000,2,1.0,820,3844,1.0,0,0,4,6,820,98133,1520,3844,0,0,0,98,EN,EW
699000,2,1.5,1400,4050,1.0,0,0,4,8,1400,98115,1900,5940,0,0,0,61,EN,MW
585000,3,2.5,2050,11690,2.0,0,0,4,9,2050,98059,2410,10172,1,0,0,25,MN,ME
465000,3,1.75,1480,6360,1.0,0,0,3,7,1480,98133,1480,6360,0,0,0,60,EN,EW
480000,3,1.5,2100,67269,1.0,0,0,4,7,1220,98028,1610,15999,0,1,0,65,EN,MW
780000,4,2.0,2600,4800,1.0,0,2,3,8,1400,98119,2050,3505,0,1,0,61,EN,EW
215000,4,1.0,1130,7400,1.0,0,0,4,7,1130,98003,1540,7379,0,0,0,45,MS,MW
402000,2,1.0,710,5100,1.0,0,0,5,7,710,98117,1530,5100,0,0,0,109,EN,EW
299000,4,2.5,2350,6958,2.0,0,0,3,9,2350,98092,2480,6395,1,0,0,16,MS,ME
785000,4,2.5,3440,56192,2.0,0,0,3,9,3440,98053,3150,44431,1,0,0,21,EN,EE
865000,4,2.0,2750,5527,2.0,0,0,3,8,2130,98119,1290,1764,0,1,1,114,EN,EW
554000,5,2.5,3440,12900,1.0,0,2,4,8,1720,98166,2100,10751,0,1,0,56,MN,EW
361000,3,1.5,1200,7236,1.0,0,0,3,7,1200,98011,1680,7800,0,0,0,40,EN,ME
459000,4,2.75,2790,6600,2.0,0,0,3,9,2790,98058,2900,6752,1,0,0,14,MN,ME
200000,3,1.0,1480,5600,1.0,0,0,4,6,940,98178,1350,11100,0,1,0,67,MN,MW
403000,2,1.0,1100,3598,1.0,0,0,4,7,1100,98144,1240,3598,0,0,0,88,EN,MW
327500,3,2.25,2310,7200,2.0,0,0,3,8,2310,98031,1960,7201,0,0,0,24,MS,ME
700000,5,2.75,3100,9825,2.0,0,2,4,8,3100,98125,2120,8400,0,0,1,64,EN,MW
730000,3,2.5,2160,8809,1.0,0,0,3,9,1540,98103,930,5420,1,1,0,0,EN,EW
207000,2,1.5,1068,1158,2.0,0,0,3,7,1068,98028,1078,1278,0,0,0,24,EN,MW
750000,3,1.0,1120,8549,1.0,0,0,3,7,1120,98004,1440,8640,0,0,0,63,EN,EW
595000,2,2.0,1510,4000,1.0,0,0,4,7,1010,98103,1920,4000,0,1,0,114,EN,EW
338000,4,3.0,2090,7500,1.0,0,0,3,7,1370,98056,1810,7650,0,1,0,28,MN,ME
500000,3,2.0,1560,1156,3.0,0,0,3,8,1560,98122,1560,1728,0,0,0,0,EN,MW
834000,4,2.5,2370,4000,1.5,0,2,5,8,1980,98144,2440,5750,0,1,0,87,EN,MW
1450000,3,2.75,3940,9671,1.0,0,4,5,9,2140,98006,3390,9360,1,1,0,47,EN,ME
432000,4,1.75,2410,8400,1.0,0,0,3,7,1600,98011,1850,8400,0,1,0,36,EN,ME
1100000,4,4.0,3770,8899,2.0,0,0,3,10,2940,98074,3300,8308,1,1,0,8,EN,EE
325000,3,1.5,1590,7936,1.0,0,0,3,7,1590,98106,1590,7936,0,0,0,59,MN,EW
460000,3,1.75,1520,7700,1.0,0,0,3,7,820,98034,1420,7674,0,1,0,46,EN,MW
1570000,5,4.5,6070,14731,2.0,0,0,3,11,6070,98059,4750,13404,1,0,0,10,MN,ME
415000,4,2.5,2891,6499,2.0,0,0,3,9,2891,98001,2550,8383,1,0,0,0,MS,MW
905000,4,2.25,2240,5000,2.0,0,0,3,8,1770,98122,2120,5000,0,1,1,115,EN,MW
759950,3,2.5,3100,23790,2.0,0,0,3,9,3100,98075,2250,40854,1,0,0,12,EN,EE
600000,2,2.0,1270,5000,1.0,0,0,3,6,1270,98107,2190,5000,0,0,0,71,EN,EW
282900,4,2.5,1710,3500,2.0,0,0,3,7,1710,98002,1710,3500,0,0,0,0,MS,MW
272000,3,2.0,1200,5700,1.0,0,0,5,7,1200,98178,1190,6384,0,0,0,72,MN,MW
243800,3,1.0,1140,27760,1.0,0,0,4,6,1140,98027,1690,87300,0,0,0,33,MN,EE
448000,3,3.25,1560,1345,2.0,0,0,3,8,1260,98126,1560,4800,0,1,0,6,EN,EW
350000,4,2.75,2300,3175,1.5,0,0,3,6,1340,98144,1260,3175,0,1,0,48,EN,MW
255000,3,2.5,1720,6200,2.0,0,0,3,7,1720,98022,1710,9520,0,0,0,1,ES,EE
384000,5,2.75,3220,8160,2.0,0,0,3,9,3220,98001,2876,11521,1,0,0,15,MS,MW
129000,2,1.0,1150,30184,1.0,0,0,3,6,1150,98055,1670,19684,0,0,0,64,MN,ME
469000,4,2.75,3550,13938,1.0,0,0,5,8,2100,98188,2050,9000,0,1,0,49,MN,MW
100000,2,1.0,770,17334,1.0,0,0,3,7,770,98001,1480,17334,0,0,0,36,MS,MW
265000,3,1.5,1290,7100,1.0,0,0,3,6,1290,98198,1300,7183,0,0,0,60,MN,EW
277500,3,2.5,2620,4558,2.0,0,3,3,7,2620,98022,1670,4558,0,0,0,4,ES,EE
1660000,4,2.75,3520,19200,1.0,1,4,4,9,1950,98136,2450,7000,1,1,0,63,MN,EW
592500,4,2.5,3370,35150,1.0,0,0,5,8,1770,98027,2920,41241,0,1,0,21,MN,EE
385000,4,2.5,1620,5280,2.0,0,0,4,7,1620,98146,1590,5280,0,0,1,90,MN,EW
329000,4,2.5,1600,6765,1.0,0,0,3,7,830,98106,1600,8942,0,1,1,67,MN,EW
720000,3,2.0,1590,5200,1.0,0,0,3,7,1320,98103,1620,5150,0,1,0,76,EN,EW
680000,3,1.75,1760,8400,1.0,0,0,4,8,1460,98136,1980,8400,0,1,0,54,MN,EW
260000,4,2.5,1790,4358,2.0,0,0,3,7,1790,98031,1790,4305,0,0,0,21,MS,ME
684680,4,2.25,2370,9360,2.0,0,0,4,8,2370,98052,2370,9720,0,0,0,35,EN,ME
510000,3,2.0,2350,266151,1.5,0,0,3,7,2350,98014,2270,222156,0,0,0,31,EN,EE
374000,2,1.0,1140,5650,1.0,0,1,3,6,980,98116,1220,5700,0,1,0,94,EN,EW
221900,2,1.0,780,6727,1.0,0,0,3,6,780,98168,1860,10124,0,0,0,75,MN,MW
